"Anos","DE","AT","BE","BG","CY","HR","DK","SK","SI","ES","EE","FI","FR","GR","HU","IE","IT","LV","LT","LU","MT","NL","PL","PT","CZ","RO","SE","IS","NO","UK","CH"
"1995","1977604.1","184351.3","220251.5","14512.8","7596","17349.7","141441.4","15322.9","16340.4","470155.7","2984.7","102643.6","1224717.2","104662.1","35469.4","52889.6","898299.3","4124.1","5124.1","16508.3","2846.6","346000.8","108715.7","91015.8","46008.4","28589.8","204328.5","5449.7","116241","1025787","262110.8"
"1996","1967956.2","186968.1","219965.3","9829.9","7890.1","18939","147843.4","17053.2","16946.1","506362.6","3765.4","104142.2","1265105.4","114908.2","36758.4","59698.1","1033759.7","4685.3","6603.9","17156.4","3010.6","354929.1","126003.6","96626.8","53088.1","29035.4","229771.3","5842.7","128671.9","1114825.5","260216.4"
"1997","1952617.8","187853.7","223032.7","10064.7","8414.2","21122.8","153152.1","19331.1","18320.7","520831","4547.8","112033.4","1282409.5","126353.8","41741.4","73087.4","1096302","5734","8924.3","17414.8","3346.8","367861.6","140437.4","103306.6","54857.3","31450.5","236645.7","6682.3","142336.6","1375538.1","252935"
"1998","2000815.9","195011.9","231015.7","13437.6","9152.6","22695.5","158146.4","20333.8","19784.6","553338.4","5060.3","119733.4","1343327.3","129057.3","43408.6","80496.3","1134534.9","6384.2","10026.4","18058.5","3581.8","391460.9","154747.6","110683.7","59824.8","37063.3","241468.1","7562.4","137395.7","1472989.1","263721.6"
"1999","2059480","203850.6","242307.6","12804.4","9839.8","21968.4","166972.1","19516.1","21227.5","595723","5411.7","126916","1400999","139945.1","46040.1","92668.8","1175149.5","7032","10293.5","20870.6","3861","419459","159267.4","119603.3","61082.9","33726.8","257109.7","8408.4","152301.8","1578606.1","272140.6"
"2000","2109090","213606.5","256376.4","14406.8","10804.6","23468.1","178018.1","22389.1","21866.8","647851","6179.8","136442","1478585","142976","51238.5","108400.2","1241512.9","8605.6","12491.3","23079.4","4412.4","452007","186375.9","128414.4","67032.5","40594.9","285150.3","9752.4","185788.4","1797681.6","294914.5"
"2001","2172540","220525.1","264334.9","15905.3","11602.9","25842.6","184045.6","23909.8","23249.1","700993","6992.2","144628","1538200","152193.8","60012.9","122009.9","1304136.8","9343.4","13681.4","23771.9","4565.5","481881","212405.7","135775","75705.2","45143.6","270524.5","9144.4","194362.4","1832342.8","311299.7"
"2002","2198120","226735.2","273255.9","17478.3","12082.9","28475","189794.9","26340.7","24972.4","749552","7827.3","148486","1587829","163460.8","71756.1","135955.7","1350258.9","10139.9","15173","25094.7","4740.9","501137","210146","142554.3","87358.2","48695.7","283627.1","9885.9","207898.4","1893359.1","320237.4"
"2003","2211570","231862.5","281200.2","18798.3","12871.3","30727.9","193353.4","30119.1","26247.5","802266","8747.6","151749","1630666","178904.9","75442.8","145533.6","1394693.2","10463.7","16668.7","26187.8","4823.5","512810","192274.3","146067.9","88659.5","51108.5","296305.5","10104.6","202462","1817185.2","312431.2"
"2004","2262520","242348.3","296819.7","21093.2","13937.9","33480.5","202422.2","34757.7","27692","859437","9776.2","158758","1704019","193715.8","83753.7","156189.4","1452319","11658.7","18237.4","27935.5","4910.4","529286","206119.6","152248.4","96554.1","60402","310182","11144","213032.7","1945197.9","317491"
"2005","2288310","254075","310037.6","24039.9","15039.3","36484.5","212832.4","39403.4","29122.3","927357","11336.5","164687","1765905","199242.3","90905.1","170230.9","1493635.3","13715.6","21002.4","30031","5152.1","550883","246200.1","158552.7","110321.7","79223.9","315774.8","13535.5","248462.6","2041933.3","328683.1"
"2006","2385080","267824.5","325151.5","27410","16263.8","40198.9","225531.3","45602","31476.1","1003823","13560.5","172897","1848151","217861.6","92016.6","184914.1","1552686.8","17255.9","24079.2","33808.4","5403","584546","274600.2","166260.5","124581.2","97215.6","337317.2","13767.6","275414.7","2163500.2","343498.6"
"2007","2499550","283978","343618.9","32444.5","17591.1","43991.4","233383.3","56339.3","35073.5","1075539","16398.7","187072","1941360","232694.6","102253.3","197129.5","1614839.8","22676.8","29040.7","37178.9","5790.3","619170","313872.4","175483.4","139002.1","127632","358945.1","15726.8","293167","2264694.5","350695.6"
"2008","2546490","293761.9","351743.1","37217.7","19009.6","47998.3","241613.5","66098.1","37925.7","1109541","16638.3","194265","1992380","241990.4","108215.8","187619.5","1637699.4","24397.2","32696.3","38128.6","6206","647198","366180.6","179102.8","162064.5","146590.6","354881.1","10948.5","317021.5","1996698.4","378248.1"
"2009","2445730","288044","346472.8","37400.2","18675.5","45064.1","231278","64095.5","36254.9","1069323","14211.8","181747","1936422","237534.2","94382.6","169785.8","1577255.9","18807.4","26934.8","36976.5","6259.6","624842","317081.3","175416.4","149586.5","125213.9","314637.5","9426.4","278246.6","1737000.2","390207.4"
"2010","2564400","295896.6","363140.1","38044.1","19410","45111.8","243165.4","68093","36363.9","1072709","14860.7","188143","1995289","226031.4","98986.8","167673.7","1611279.4","17817.7","27955.3","40177.8","6815.8","639187","361803.9","179610.8","157920.8","125408.8","374695.2","10332.4","323760.9","1867396","441085.7"
"2011","2693560","310128.7","375967.8","41252.6","19803","44793","247879.9","71214.4","37058.6","1063763","16826.8","197998","2058369","207028.9","101552.7","170950.9","1648755.8","20218.7","31233.7","43164.6","6924.6","650359","380241.7","176096.2","165202.2","131925.4","412844.7","10889","358339.5","1912457.9","504020.9"
"2012","2745310","318653","386174.7","42033.5","19440.8","43940.8","254578","73483.8","36253.3","1031099","18050.7","201037","2088804","191203.9","99733.6","175103.9","1624358.7","22098.2","33331.7","44112.1","7364.5","652966","389376.8","168295.6","162587.5","133147.1","430037.1","11458.5","396523.5","2111708.4","519716.4"
"2013","2811350","323910.2","392880","41885.4","17995","43703.2","258742.7","74354.8","36454.3","1020348","19033.4","204321","2117189","180654.3","102032.3","179616.3","1612751.3","22845.4","34985","46499.6","7944.3","660463","394733.8","170492.3","159461.5","143801.6","441850.7","12064.1","393408.7","2098425.7","518379.5"
"2014","2927430","333146.1","403003.3","42876.1","17408.5","43401.3","265757","76255.9","37634.3","1032158","20180","206897","2149765","178656.5","105905.9","195148.1","1627405.6","23654.2","36544.8","49824.5","8751.1","671560","411163.2","173053.7","157821.3","150458","438833.9","13389.9","375947.3","2309785.1","534923.7"
"2015","3026180","344269.2","416701.4","45675.8","17826.9","44616.4","273017.6","79758.2","38852.6","1077590","20782.2","211385","2198432","177258.4","112210.3","262853.3","1655355","24426","37321.8","52065.8","9996.7","690008","430258.1","179713.2","169558.2","160297.8","455494.7","15679.8","347632.1","2640934.6","612658.4"
"2016","3134740","357299.7","430231.1","48620.5","18872.9","46615.5","283109.7","81038.3","40366.6","1113840","21931.5","217518","2234129","176487.9","115259.2","270809.5","1695786.8","25072.6","38893.4","54867.2","10538.4","708337","426555.7","186489.8","177438.5","170393.6","466266.5","18646.1","333471.3","2435055.2","606773.4"
"2017","3259860","370295.8","445956.6","52310","20039.7","49094.4","292408","84521.2","42987.1","1161878","23857.7","225933","2297242","180217.6","125603.1","300386.9","1736592.8","26797.8","42269.4","56814.2","11637.7","738146","467312.9","195947.2","194132.9","187772.7","480025.5","21704.9","353316.4","2363109.3","602268.2"
"2018","3356410","385711.9","459531.6","56086.9","21137.9","51625.1","301340.9","89605.9","45754.8","1202193","25937.6","233662","2360687","184713.6","133782.2","326986.1","1766168.2","29056.1","45264.4","60053.1","12491","773987","497590.1","204304.8","210892.7","204640.5","470673.1","21795.2","367893.7","2423736.6","597008.9"
"2019","3449050","398682.4","473085.1","60675.3","21943.6","53936.7","310002.3","94171.2","48006.6","1245331","28112.4","240557","2425708","187456.5","143826.4","356051.2","1787664.1","30476.1","48432.8","63516.3","13390","810247","529029.2","212320.6","223945","223337.4","474193.7","21602.7","360300.9","2525093.1","628106.6"
