"Anos","UE27","UE28","ZE19","DE","AT","BE","BG","CY","HR","DK","SK","SI","ES","EE","FI","FR","GR","HU","IE","IT","LV","LT","LU","MT","NL","PL","PT","CZ","RO","SE","IS","NO","UK","CH"
"1995","7232.6","7303.6","8429.2","10537.1","10121.6","9513.8","1931.5","5777.7","3037.6","9514.2","2858.2","6205","6511.4","2747.3","7883.3","9150.3","3778.8","3466.9","6945.1","7233.7","1894.7","1857.5","15573.7","5537.4","9862.2","2566.7","5647.2","4509.7","1641.6","8454.1","9797.4","9370","7834.2","14293.1"
"1996","7520","7609.7","8723.8","10840.1","10398.3","9772.5","1746.2","6023.8","3471.1","10099.2","3233","6416.6","6826.6","2869","8229.9","9520","3936.4","3517.9","7529.7","7603.5","2185.9","2056.7","16349.6","5823.3","10363.7","2884.9","5999.2","4957.5","1764.5","9154.6","10571.7","10218","8283.4","14718.9"
"1997","7626.4","7772.3","8842.1","10743.9","10461.2","10001.3","1509.2","6212.2","3771.5","10423.9","3542.7","6522.9","7265.9","3159","8560.2","9597.8","4225.1","3630.5","7936.6","7800.1","2324.4","2289.3","16861.1","6039.3","10709.9","3160.6","6274.1","5018.1","1437.3","9349.6","10898.2","10782.6","8894.1","15028.6"
"1998","7850.3","8003.8","9097.4","10960.5","10884","10188.2","1793.8","6317.5","4007.7","10968.9","3690.4","6679.6","7722.6","3297.1","9135.1","9815.2","4487.5","3805","8500.5","7768.1","2454.3","2686.4","17701.2","6087.9","11379.1","3364.8","6622.4","4837.8","1756.2","9246.9","11931.6","11402.2","9156.4","15329.6"
"1999","8236.1","8432.2","9539.4","11490.2","11298.6","10788.6","1811.8","6597.7","4216.4","11406.9","3600.2","7003.9","8128.2","3225.8","9697","10354.4","4698.8","3918.8","8977.8","8013.6","2641.7","2804.2","19403","6320","12218.2","3564.7","7066.1","4922.3","1613.3","9932.2","12864.6","12188","9825.2","15821.5"
"2000","8717.2","8972.8","10081.9","12002.3","11807.1","11574.3","1890.8","7026.4","4563.7","11882.2","3801.9","7557.8","8752","3547.4","10322.6","11043.1","4990.8","4367.8","9695.8","8295.4","2752.6","2744.6","21273.9","6593.7","13278","3647.6","7549.1","5172.5","1914.7","10992.3","13069.1","13002.9","10733.5","16427.9"
"2001","9084.4","9391","10456.2","12305.9","11773.7","12235.7","2053.5","7436.6","4637.7","12383","4028.2","7978.2","9130.7","3806.7","10643","11650.2","5346.6","4904.7","10355.9","8592.6","2998.8","2956.3","22702.7","6910.7","13627.7","3866.6","7785.2","5590.7","2237.9","11387.9","13651.4","13552.3","11452.1","17406.9"
"2002","9388.9","9689.9","10772.4","12459.1","12124","12897.4","2200.5","7865.5","5091.4","12860.6","4277","8324.2","9558.6","4198.8","10897.4","12073","6129.5","5253.7","10657.6","8814.5","3151","3287.7","23989.5","7118.2","14145.5","3879.9","8008.8","5898.5","2319.9","11614.9","13869.2","14173.2","11742.7","18196.9"
"2003","9592.9","9921.5","10948.6","12754.2","12519.2","13065.7","2392.6","8325.6","5490.5","13052.6","4439.9","8633.1","9735.8","4761.9","11109.5","11971.6","6520.8","5779.9","11187.5","9047.7","3473.7","3834","24309.7","7573.4","14098","3946.9","8184.3","6355.1","2382.8","11901.8","14421.4","14282.1","12214.7","18090.2"
"2004","9851.7","10256.4","11174.8","13038.2","12839","13137.1","2526.5","8744.1","5773.8","13634.3","4493.9","9299.7","10074.7","5198.5","11822.1","12171.9","6887.3","6036.7","12028.5","9071.6","3817.7","4271.4","25720.2","7826.2","14460.2","4043.8","8340.3","6733.3","2732.9","12433.9","15457.1","14942.3","13015.1","18274.5"
